COD	EMPRESA	ZONA	COD_VEN	VENDEDOR	COD_CLIENTE	CLIENTE	TD	DOCUMENTO	FECHA_EMISION	FECHA_VENCIMIENTO	MES_EMI	ANIO_EMI	DIAS_PLAZO	MON	TIPCAMV	TIPCAMC	IMPORTEDOC	CODAGE	AGENCIA	ITEM	PRODUCTO	PRESENTACION	UNID_KG/L	TOT_VOLUMEN	CODIGO	DESCRI	CANTI	PRECIO	UNID	VALORVTA	IGV	PRECIOVTA	VALORVTA_US	VALORVTA_MN	PRECIOVTA_US	PRECIOVTA_MN
0002	CAISAC	ANCASH-CHIMBOTE-SANTA-CASMA-HUARMEY	30524	HUGO ARENAS	20133417452	AGROPECUARIA CHIMU SRL	FT	F0040009376	25/03/2019	24/05/2019	Marzo	2019	60	US	3.305	3.301	1047.42	0001	LIMA	0001	SANIX	1.000	KG	156.000	2110090001	SANIX(  FCO. 1 KG) FITOCICATRIZANTE	156.000	5.69	1KG	887.64	159.78	1047.42	887.640	2930.100	1047.420	3457.533	
0002	CAISAC	ANCASH-CHIMBOTE-SANTA-CASMA-HUARMEY	30524	HUGO ARENAS	20133417452	AGROPECUARIA CHIMU SRL	FT	F0040010018	03/05/2019	02/07/2019	Mayo	2019	60	US	3.315	3.313	1805.40	0001	LIMA	0001	SANIX	20.000	KG	300.000	2110090003	SANIX (BALDE X 20 KG) FITOCICATRIZANTE	15.000	102.00	UND	1530.00	275.40	1805.40	1530.000	5068.890	1805.400	5981.290	
0002	CAISAC	TRUJILLO-PAIJAN-VIRU-CHAO (CADENA TIENDA	313-3	CARLOS FEIJO ORTIZ	20133417452	AGROPECUARIA CHIMU SRL	FT	F0040010320	23/05/2019	21/08/2019	Mayo	2019	90	US	3.347	3.344	948.72	0001	LIMA	0001	SANIX	1.000	KG	48.000	2110090001	SANIX(  FCO. 1 KG) FITOCICATRIZANTE	48.000	5.69	1KG	273.12	49.16	322.28	273.120	913.313	322.280	1077.704	
0002	CAISAC	TRUJILLO-PAIJAN-VIRU-CHAO (CADENA TIENDA	313-3	CARLOS FEIJO ORTIZ	20133417452	AGROPECUARIA CHIMU SRL	FT	F0040010320	23/05/2019	21/08/2019	Mayo	2019	90	US	3.347	3.344	948.72	0001	LIMA	0002	SANIX	4.000	KG	96.000	2110090002	SANIX( BALDE 4 KG) FITOCICATRIZANTE	24.000	22.12	UND	530.88	95.56	626.44	530.880	1775.263	626.440	2094.815	
0002	CAISAC	TRUJILLO-PAIJAN-VIRU-CHAO (CADENA TIENDA	313-3	CARLOS FEIJO ORTIZ	20133417452	AGROPECUARIA CHIMU SRL	FT	F0040010831	26/06/2019	25/08/2019	Junio	2019	60	US	3.298	3.295	402.85	0001	LIMA	0001	SANIX	1.000	KG	60.000	2110090001	SANIX(  FCO. 1 KG) FITOCICATRIZANTE	60.000	5.69	1KG	341.40	61.45	402.85	341.400	1124.913	402.850	1327.391	
0002	CAISAC	TRUJILLO-PAIJAN-VIRU-CHAO (CADENA TIENDA	313-3	CARLOS FEIJO ORTIZ	20133417452	AGROPECUARIA CHIMU SRL	FT	F0040008410	11/01/2019	12/03/2019	Enero	2019	60	US	3.343	3.341	2812.77	0001	LIMA	0001	SANIX	20.000	KG	440.000	2110090003	SANIX (BALDE X 20 KG) FITOCICATRIZANTE	22.000	108.35	UND	2383.70	429.07	2812.77	2383.700	7963.942	2812.770	9397.465	
0002	CAISAC	TRUJILLO-PAIJAN-VIRU-CHAO (CADENA TIENDA	313-3	CARLOS FEIJO ORTIZ	20133417452	AGROPECUARIA CHIMU SRL	FT	F0040008363	09/01/2019	10/03/2019	Enero	2019	60	US	3.350	3.347	2301.35	0001	LIMA	0001	SANIX	20.000	KG	360.000	2110090003	SANIX (BALDE X 20 KG) FITOCICATRIZANTE	18.000	108.35	UND	1950.30	351.05	2301.35	1950.300	6527.654	2301.350	7702.618	
0002	CAISAC	TRUJILLO-PAIJAN-VIRU-CHAO (CADENA TIENDA	313-3	CARLOS FEIJO ORTIZ	20133417452	AGROPECUARIA CHIMU SRL	FT	F0040009635	08/04/2019	07/06/2019	Abril	2019	60	US	3.300	3.295	6619.80	0001	LIMA	0001	SANIX	20.000	KG	1100.000	2110090003	SANIX (BALDE X 20 KG) FITOCICATRIZANTE	55.000	102.00	UND	5610.00	1009.80	6619.80	5610.000	18484.950	6619.800	21812.241	
0002	CAISAC	TRUJILLO-PAIJAN-VIRU-CHAO (CADENA TIENDA	313-3	CARLOS FEIJO ORTIZ	20133417452	AGROPECUARIA CHIMU SRL	FT	F0040009663	10/04/2019	09/06/2019	Abril	2019	60	US	3.293	3.290	1925.76	0001	LIMA	0001	SANIX	20.000	KG	320.000	2110090003	SANIX (BALDE X 20 KG) FITOCICATRIZANTE	16.000	102.00	UND	1632.00	293.76	1925.76	1632.000	5369.280	1925.760	6335.750	
0002	CAISAC	TRUJILLO-PAIJAN-VIRU-CHAO (CADENA TIENDA	313-3	CARLOS FEIJO ORTIZ	20133417452	AGROPECUARIA CHIMU SRL	FT	F0040009859	24/04/2019	23/06/2019	Abril	2019	60	US	3.311	3.308	626.44	0001	LIMA	0001	SANIX	4.000	KG	96.000	2110090002	SANIX( BALDE 4 KG) FITOCICATRIZANTE	24.000	22.12	UND	530.88	95.56	626.44	530.880	1756.151	626.440	2072.264	
